TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281425	54	2021-09-20T16:58:15	71.40879	51.1375923	9
A003	1281425	54	2021-09-20T16:58:15	71.40879	51.1375923	1
A003	1281425	54	2021-09-20T16:59:48	71.4140244	51.1365929	1
A003	1281425	54	2021-09-20T17:01:03	71.4148941	51.13652	1
A003	1281425	54	2021-09-20T17:01:33	71.41701	51.13617	1
A003	1281425	54	2021-09-20T17:02:17	71.4209061	51.13551	1
A003	1281425	54	2021-09-20T17:04:10	71.4318542	51.13362	1
A003	1281425	54	2021-09-20T17:04:54	71.433075	51.1334267	1
A003	1281425	54	2021-09-20T17:05:25	71.433075	51.1334267	1
A003	1281425	54	2021-09-20T17:06:27	71.43799	51.1324425	1
A003	1281425	54	2021-09-20T17:08:10	71.43889	51.12866	1
A003	1281425	54	2021-09-20T17:09:19	71.43807	51.1265755	1
A003	1281425	54	2021-09-20T17:09:49	71.4368057	51.1248856	5
A003	1281425	54	2021-09-20T17:10:46	71.43232	51.1255455	5
A003	1281425	54	2021-09-20T17:11:56	71.431015	51.12497	5
A003	1281425	54	2021-09-20T17:12:55	71.42897	51.11995	5
A003	1281425	54	2021-09-20T17:13:59	71.42781	51.11665	5
A003	1281425	54	2021-09-20T17:15:01	71.42921	51.1134834	5
A003	1281425	54	2021-09-20T17:15:20	71.4309	51.1132278	5
A003	1281425	54	2021-09-20T17:16:56	71.43195	51.1098	5
A003	1281425	54	2021-09-20T17:18:21	71.4302139	51.10537	5
A003	1281425	54	2021-09-20T17:18:52	71.42907	51.10183	5
A003	1281425	54	2021-09-20T17:20:27	71.42714	51.0962257	5
A003	1281425	54	2021-09-20T17:21:04	71.4271	51.0960426	8
A003	1281425	54	2021-09-20T17:22:02	71.429184	51.09503	8
A003	1281425	54	2021-09-20T17:22:53	71.43206	51.09459	8
A003	1281425	54	2021-09-20T17:24:03	71.4391	51.0936241	8
A003	1281427	54	2021-09-20T17:25:07	71.44408	51.0929451	8
A003		54	2021-09-20T17:26:45	71.4492645	51.0923	8
A003		54	2021-09-20T17:27:05	71.45019	51.0928268	8
A003		54	2021-09-20T17:28:00	71.45068	51.094738	8
A003		54	2021-09-20T17:29:02	71.45033	51.0948639	8
